"id","suburb","street_code","postal_code","city","province","created_at","updated_at"
"1","AALWYNFLEUR","6670","0","RIVERSDALE","Western Cape","2021-05-18 04:30:57","2021-05-18 04:30:57"
"2","AANDRUS","9301","0","BLOEMFONTEIN","Free State","2021-05-18 04:30:57","2021-05-18 04:30:57"
"3","ABAPHEHLI","0","4126","DOONSIDE","Kwazulu Natal","2021-05-18 04:30:57","2021-05-18 04:30:57"
"4","ABBOTSDALE","7300","0","MALMESBURY","Western Cape","2021-05-18 04:30:57","2021-05-18 04:30:57"
"5","ABBOTSFORD","2192","0","JOHANNESBURG","Gauteng","2021-05-18 04:30:58","2021-05-18 04:30:58"
"6","ABBOTSFORD","5241","0","EAST LONDON","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"7","ABBOTSPOORT","0","608","POTGIETERSRUS","Limpopo","2021-05-18 04:30:58","2021-05-18 04:30:58"
"8","ABC","6242","0","ABC","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"9","ABEL","0","884","POLOKWANE","Limpopo","2021-05-18 04:30:58","2021-05-18 04:30:58"
"10","ABERDEEN","6270","6270","ABERDEEN","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"11","ABERDEEN DGD","6270","0","ABERDEEN","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"12","ABERDEEN TSP","6270","0","ABERDEEN","Eastern Cape","2021-05-18 04:30:58","2021-05-18 04:30:58"
"13","ACACIAVILLE","0","3370","LADYSMITH","Kwazulu Natal","2021-05-18 04:30:58","2021-05-18 04:30:58"
"14","ACKERVILLE","1039","1039","WITBANK","Mpumalanga","2021-05-18 04:30:58","2021-05-18 04:30:58"
"15","ACORN","3610","0","ACORN","Kwazulu Natal","2021-05-18 04:30:59","2021-05-18 04:30:59"
"16","ACORNHOEK","0","1360","NELSPRUIT","Mpumalanga","2021-05-18 04:30:59","2021-05-18 04:30:59"
"17","ACTIVIA PARK","1429","0","GERMISTON","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"18","ACTON CABA","0","5401","TSOMO","Eastern Cape","2021-05-18 04:30:59","2021-05-18 04:30:59"
"19","ACTON HOMES","0","3352","BERGVILLE","Kwazulu Natal","2021-05-18 04:30:59","2021-05-18 04:30:59"
"20","ACTONVILLE","1501","1506","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"21","ACTONVILLE EXT 2","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"22","ACTONVILLE EXT 3","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"23","ACTONVILLE EXT 4","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"24","ACTONVILLE EXT 5","1501","0","BENONI","Gauteng","2021-05-18 04:30:59","2021-05-18 04:30:59"
"25","ACTONVILLE EXT 2","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:26"
"26","ACTONVILLE EXT 3","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:27"
"27","ACTONVILLE EXT 4","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:27"
"28","ACTONVILLE EXT 5","1501","0","BENONI","Gauteng","2021-05-18 04:31:00","2021-05-18 04:50:27"
"29","ADAMAYVIEW","2571","0","KLERKSDORP","North West Province","2021-05-18 04:31:00","2021-05-18 04:31:00"
"30","ADAMS MISSION","0","4100","AMANZIMTOTI","Kwazulu Natal","2021-05-18 04:31:00","2021-05-18 04:31:00"
"31","ADCOCK VALE","6001","0","PORT ELIZABETH","Eastern Cape","2021-05-18 04:31:00","2021-05-18 04:31:00"
"32","ADCOCK VALE EXT","6045","0","NEWTON PARK","Eastern Cape","2021-05-18 04:31:00","2021-05-18 04:31:00"
"33","ADCOCK VALE EXT","6045","0","NEWTON PARK","Eastern Cape","2021-05-18 04:31:00","2021-05-18 04:50:27"
"34","ADDINGTON","4001","0","DURBAN","Kwazulu Natal","2021-05-18 04:31:00","2021-05-18 04:31:00"
"35","ADDNEY","0","712","POLOKWANE","Limpopo","2021-05-18 04:31:01","2021-05-18 04:31:01"
"36","ADDO","6105","6105","ADDO","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"37","ADELAIDE","5760","5760","ADELAIDE","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"38","ADENDORP","6282","6282","ADENDORP","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"39","ADKIN'S POST","0","5170","TSOLO","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"40","ADMINISTRATION BLOCK","1431","0","KATLEHONG","Gauteng","2021-05-18 04:31:01","2021-05-18 04:31:01"
"41","ADMIRALS HILL","7798","0","STRANDFONTEIN","Western Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"42","ADRIAANSE","7490","0","MATROOSFONTEIN","Western Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"43","ADVENT","5092","5092","MOUNT FRERE","Eastern Cape","2021-05-18 04:31:01","2021-05-18 04:31:01"
"44","AERORAND","1055","1070","MIDDELBURG","Mpumalanga","2021-05-18 04:31:01","2021-05-18 04:31:01"
"45","AEROTON","2190","2013","JOHANNESBURG","Gauteng","2021-05-18 04:31:01","2021-05-18 04:31:01"
"46","AEROVILLE","5850","0","SOMERSET EAST","Eastern Cape","2021-05-18 04:31:02","2021-05-18 04:31:02"
"47","AFGUNS","534","534","ELLISRAS","Limpopo","2021-05-18 04:31:02","2021-05-18 04:31:02"
"48","AFRICA","4309","4310","INANDA","Kwazulu Natal","2021-05-18 04:31:02","2021-05-18 04:31:02"
"49","AFRICAN ENTERPRISE","0","3294","PIETERMARITZBURG","Kwazulu Natal","2021-05-18 04:31:02","2021-05-18 04:31:02"
"50","AGAVIA","1739","0","KRUGERSDORP","Gauteng","2021-05-18 04:31:02","2021-05-18 04:31:02"
"51","AGGENEYS","0","8893","SPRINGBOK","Nothern Cape","2021-05-18 04:31:02","2021-05-18 04:31:02"
"52","AGINCOURT","0","1368","XIMHUNGWE","Mpumalanga","2021-05-18 04:31:02","2021-05-18 04:31:02"
"53","AGISANANG","2760","2760","SANNIESHOF","North West Province","2021-05-18 04:31:02","2021-05-18 04:31:02"
"54","AGNES REST","0","5435","DORDRECHT","Eastern Cape","2021-05-18 04:31:02","2021-05-18 04:31:02"
"55","AGTER PAARL","0","7630","PAARL","Western Cape","2021-05-18 04:31:03","2021-05-18 04:31:03"
"56","AIKEN STREET","0","4251","PORT SHEPSTONE","Kwazulu Natal","2021-05-18 04:31:04","2021-05-18 04:31:04"
"57","AIKENSTRAAT","0","4251","PORT SHEPSTONE","Kwazulu Natal","2021-05-18 04:31:04","2021-05-18 04:31:04"
"58","AIRDLIN","0","2157","JOHANNESBURG","Gauteng","2021-05-18 04:31:04","2021-05-18 04:31:04"
"59","AIRFIELD","1501","0","BENONI","Gauteng","2021-05-18 04:31:05","2021-05-18 04:31:05"
"60","AIRLIE","7806","0","CONSTANTIA","Western Cape","2021-05-18 04:31:05","2021-05-18 04:31:05"
"61","AIRPORT INDUSTRIA","7490","0","MATROOSFONTEIN","Western Cape","2021-05-18 04:31:05","2021-05-18 04:31:05"
"62","AKASIA","601","0","POTGIETERSRUS","Limpopo","2021-05-18 04:31:05","2021-05-18 04:31:05"
"63","AKASIAPARK","7460","0","GOODWOOD","Western Cape","2021-05-18 04:31:05","2021-05-18 04:31:05"
"64","AKASIE PARK","0","2520","POTCHEFSTROOM","North West Province","2021-05-18 04:31:05","2021-05-18 04:31:05"
"65","ALABAMA","2577","2577","KLERKSDORP","North West Province","2021-05-18 04:31:05","2021-05-18 04:31:05"
"66","ALAN MANOR","2091","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:05","2021-05-18 04:31:05"
"67","ALAN MANOR EXT 2","2091","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:05","2021-05-18 04:31:05"
"68","ALAN MANOR EXT 2","2091","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:05","2021-05-18 04:50:27"
"69","ALBANY","3610","0","PINETOWN","Kwazulu Natal","2021-05-18 04:31:06","2021-05-18 04:31:06"
"70","ALBEMARLE","1401","1410","GERMISTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:31:06"
"71","ALBEMARLE EXT 1","1401","0","GERMISTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:31:06"
"72","ALBEMARLE EXT 2","1401","0","GERMISTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:31:06"
"73","ALBEMARLE EXT 1","1401","0","GERMISTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:50:27"
"74","ALBEMARLE EXT 2","1401","0","GERMISTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:50:27"
"75","ALBERANTE","1449","0","ALBERTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:31:06"
"76","ALBERANTE EXT 1","1449","0","ALBERTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:31:06"
"77","ALBERANTE EXT 1","1449","0","ALBERTON","Gauteng","2021-05-18 04:31:06","2021-05-18 04:50:27"
"78","ALBERT LUTHULI","0","9323","BLOEMFONTEIN","Free State","2021-05-18 04:31:06","2021-05-18 04:31:06"
"79","ALBERTINIA","6695","6695","ALBERTINIA","Western Cape","2021-05-18 04:31:06","2021-05-18 04:31:06"
"80","ALBERTON","1449","1450","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"81","ALBERTON EXT 28","1449","0","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"82","ALBERTON NORTH","1449","1456","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"83","ALBERTON EXT 28","1449","0","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:50:27"
"84","ALBERTON-NOORD","1449","1456","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"85","ALBERTSDAL","1448","0","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"86","ALBERTSDAL EXT 17","1448","0","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"87","ALBERTSDAL EXT 18","1448","0","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"88","ALBERTSDAL EXT 6","1448","0","ALBERTON","Gauteng","2021-05-18 04:31:07","2021-05-18 04:31:07"
"89","ALBERTSDAL EXT 17","1448","0","ALBERTON","Gauteng","2021-05-18 04:31:08","2021-05-18 04:50:27"
"90","ALBERTSDAL EXT 18","1448","0","ALBERTON","Gauteng","2021-05-18 04:31:08","2021-05-18 04:50:27"
"91","ALBERTSDAL EXT 6","1448","0","ALBERTON","Gauteng","2021-05-18 04:31:08","2021-05-18 04:50:27"
"92","ALBERTSKROON","2195","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:08","2021-05-18 04:31:08"
"93","ALBERTSVILLE","2195","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:08","2021-05-18 04:31:08"
"94","ALBERTSVILLE","4240","0","PORT SHEPSTONE","Kwazulu Natal","2021-05-18 04:31:08","2021-05-18 04:31:08"
"95","ALBERTYNSHOF","8301","0","KIMBERLEY","Nothern Cape","2021-05-18 04:31:08","2021-05-18 04:31:08"
"96","ALBOWVILLE","7405","0","RUGBY","Western Cape","2021-05-18 04:31:08","2021-05-18 04:31:08"
"97","ALDARAPARK","2194","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:08","2021-05-18 04:31:08"
"98","ALDERLEY","0","5070","ELLIOTDALE","Eastern Cape","2021-05-18 04:31:08","2021-05-18 04:31:08"
"99","ALEXANDER BAY","0","8290","ALEXANDER BAY","Nothern Cape","2021-05-18 04:31:08","2021-05-18 04:31:08"
"100","ALEXANDER PARK","3610","0","PINETOWN","Kwazulu Natal","2021-05-18 04:31:09","2021-05-18 04:31:09"
"101","ALEXANDER PARK INDUSTRIAL","6229","0","UITENHAGE","Eastern Cape","2021-05-18 04:31:09","2021-05-18 04:31:09"
"102","ALEXANDERBAAI","0","8290","ALEXANDERBAAI","Nothern Cape","2021-05-18 04:31:09","2021-05-18 04:31:09"
"103","ALEXANDERPARK INDUSTRIE","6229","0","UITENHAGE","Eastern Cape","2021-05-18 04:31:09","2021-05-18 04:31:09"
"104","ALEXANDRA","2090","2014","JOHANNESBURG","Gauteng","2021-05-18 04:31:09","2021-05-18 04:31:09"
"105","ALEXANDRA EAST","0","2077","BRYANSTON","Gauteng","2021-05-18 04:31:09","2021-05-18 04:31:09"
"106","ALEXANDRA EXT 1","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:09","2021-05-18 04:31:09"
"107","ALEXANDRA EXT 2","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:09","2021-05-18 04:31:09"
"108","ALEXANDRA EXT 5","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:09","2021-05-18 04:31:09"
"109","ALEXANDRA EXT 7","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:09","2021-05-18 04:31:09"
"110","ALEXANDRA SOUTH","0","2073","BRAMLEY","Gauteng","2021-05-18 04:31:09","2021-05-18 04:31:09"
"111","ALEXANDRA SUID","0","2073","BRAMLEY","Gauteng","2021-05-18 04:31:10","2021-05-18 04:31:10"
"112","ALEXANDRA EXT 1","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:10","2021-05-18 04:50:27"
"113","ALEXANDRA EXT 2","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:10","2021-05-18 04:50:27"
"114","ALEXANDRA EXT 5","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:10","2021-05-18 04:50:28"
"115","ALEXANDRA EXT 7","2090","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:10","2021-05-18 04:50:28"
"116","ALEXANDRIA","6185","6185","ALEXANDRIA","Eastern Cape","2021-05-18 04:31:10","2021-05-18 04:31:10"
"117","ALGOAPARK","6001","6005","PORT ELIZABETH","Eastern Cape","2021-05-18 04:31:10","2021-05-18 04:31:10"
"118","ALICE","5700","5700","ALICE","Eastern Cape","2021-05-18 04:31:10","2021-05-18 04:31:10"
"119","ALICE EXT 8","5700","0","ALICE","Eastern Cape","2021-05-18 04:31:11","2021-05-18 04:31:11"
"120","ALICE EXT 8","5700","0","ALICE","Eastern Cape","2021-05-18 04:31:11","2021-05-18 04:50:28"
"121","ALICEDALE","6135","6135","ALICEDALE","Eastern Cape","2021-05-18 04:31:11","2021-05-18 04:31:11"
"122","ALICEDALE EST","7764","0","ATHLONE","Western Cape","2021-05-18 04:31:11","2021-05-18 04:31:11"
"123","ALICEDALE LGD","7764","0","ATHLONE","Western Cape","2021-05-18 04:31:11","2021-05-18 04:31:11"
"124","ALIWAL NORTH","9750","9750","ALIWAL NORTH","Free State","2021-05-18 04:31:11","2021-05-18 04:31:11"
"125","ALIWAL-NOORD","9750","9750","ALIWAL-NOORD","Free State","2021-05-18 04:31:11","2021-05-18 04:31:11"
"126","ALKANTRANT","81","5","PRETORIA","Gauteng","2021-05-18 04:31:11","2021-05-18 04:31:11"
"127","ALL SAINTS","5052","5052","ENGCOBO","Eastern Cape","2021-05-18 04:31:11","2021-05-18 04:31:11"
"128","ALLANDALE","1685","0","ALLANDALE","Gauteng","2021-05-18 04:31:12","2021-05-18 04:31:12"
"129","ALLANDALE","3201","0","PIETERMARITZBURG","Kwazulu Natal","2021-05-18 04:31:12","2021-05-18 04:31:12"
"130","ALLANDALE HEIGHTS","3201","0","PIETERMARITZBURG","Kwazulu Natal","2021-05-18 04:31:12","2021-05-18 04:31:12"
"131","ALLANRIDGE","6241","0","GAMBLEVILLE","Eastern Cape","2021-05-18 04:31:12","2021-05-18 04:31:12"
"132","ALLANRIDGE","9490","9490","ALLANRIDGE","Free State","2021-05-18 04:31:12","2021-05-18 04:31:12"
"133","ALLANRIDGE WEST","6229","0","UITENHAGE","Eastern Cape","2021-05-18 04:31:12","2021-05-18 04:31:12"
"134","ALLANRIDGE-WES","6229","0","UITENHAGE","Eastern Cape","2021-05-18 04:31:12","2021-05-18 04:31:12"
"135","ALLDAYS","909","909","LOUIS TRICHARDT","Limpopo","2021-05-18 04:31:12","2021-05-18 04:31:12"
"136","ALLEN GROVE","1619","0","KEMPTON PARK","Gauteng","2021-05-18 04:31:12","2021-05-18 04:31:12"
"137","ALLEN GROVE EXT 1","1619","0","KEMPTON PARK","Gauteng","2021-05-18 04:31:13","2021-05-18 04:31:13"
"138","ALLEN GROVE EXT 2","1619","0","KEMPTON PARK","Gauteng","2021-05-18 04:31:13","2021-05-18 04:31:13"
"139","ALLEN GROVE EXT 4","1619","0","KEMPTON PARK","Gauteng","2021-05-18 04:31:13","2021-05-18 04:31:13"
"140","ALLEN GROVE EXT 1","1619","0","KEMPTON PARK","Gauteng","2021-05-18 04:31:13","2021-05-18 04:50:28"
"141","ALLEN GROVE EXT 2","1619","0","KEMPTON PARK","Gauteng","2021-05-18 04:31:13","2021-05-18 04:50:28"
"142","ALLEN GROVE EXT 4","1619","0","KEMPTON PARK","Gauteng","2021-05-18 04:31:13","2021-05-18 04:50:28"
"143","ALLEN RISE","4037","0","MARBLE RAY","Kwazulu Natal","2021-05-18 04:31:13","2021-05-18 04:31:13"
"144","ALLEN'S NEK","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:13","2021-05-18 04:31:13"
"145","ALLEN'S NEK EXT 1","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:31:14"
"146","ALLEN'S NEK EXT 2","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:31:14"
"147","ALLEN'S NEK EXT 27","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:31:14"
"148","ALLEN'S NEK EXT 3","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:31:14"
"149","ALLEN'S NEK EXT 36","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:31:14"
"150","ALLEN'S NEK EXT 4","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:31:14"
"151","ALLEN'S NEK EXT 9","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:31:14"
"152","ALLEN'S NEK EXT 1","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:50:28"
"153","ALLEN'S NEK EXT 2","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:50:28"
"154","ALLEN'S NEK EXT 27","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:50:28"
"155","ALLEN'S NEK EXT 3","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:14","2021-05-18 04:50:28"
"156","ALLEN'S NEK EXT 36","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:15","2021-05-18 04:50:28"
"157","ALLEN'S NEK EXT 4","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:15","2021-05-18 04:50:28"
"158","ALLEN'S NEK EXT 9","1709","1737","ALLEN'S NEK","Gauteng","2021-05-18 04:31:15","2021-05-18 04:50:28"
"159","ALLENBY EST","7945","0","RETREAT","Western Cape","2021-05-18 04:31:15","2021-05-18 04:31:15"
"160","ALLENBY LGD","7945","0","RETREAT","Western Cape","2021-05-18 04:31:15","2021-05-18 04:31:15"
"161","ALMA","0","512","NYLSTROOM","Limpopo","2021-05-18 04:31:15","2021-05-18 04:31:15"
"162","ALOERIDGE","6670","0","RIVERSDALE","Western Cape","2021-05-18 04:31:15","2021-05-18 04:31:15"
"163","ALOEVALE","5319","0","QUEENSTOWN","Eastern Cape","2021-05-18 04:31:15","2021-05-18 04:31:15"
"164","ALPHEN EST","7806","0","CONSTANTIA","Western Cape","2021-05-18 04:31:15","2021-05-18 04:31:15"
"165","ALPHEN LGD","7806","0","CONSTANTIA","Western Cape","2021-05-18 04:31:15","2021-05-18 04:31:15"
"166","ALPHEN PARK","1501","0","BENONI","Gauteng","2021-05-18 04:31:15","2021-05-18 04:31:15"
"167","ALPHEN PARK","81","0","MENLO PARK","Gauteng","2021-05-18 04:31:16","2021-05-18 04:31:16"
"168","ALPHENDALE","5209","0","EAST LONDON","Eastern Cape","2021-05-18 04:31:16","2021-05-18 04:31:16"
"169","ALPHINE PARK","7785","0","MITCHELLS PLAIN","Western Cape","2021-05-18 04:31:16","2021-05-18 04:31:16"
"170","ALRAPARK","1491","1495","NIGEL","Gauteng","2021-05-18 04:31:16","2021-05-18 04:31:16"
"171","ALRAPARK EXT 1","1491","0","NIGEL","Gauteng","2021-05-18 04:31:16","2021-05-18 04:31:16"
"172","ALRAPARK EXT 2","1491","0","NIGEL","Gauteng","2021-05-18 04:31:16","2021-05-18 04:31:16"
"173","ALRAPARK EXT 1","1491","0","NIGEL","Gauteng","2021-05-18 04:31:16","2021-05-18 04:50:28"
"174","ALRAPARK EXT 2","1491","0","NIGEL","Gauteng","2021-05-18 04:31:16","2021-05-18 04:50:28"
"175","ALRODE","0","1451","ALBERTON","Gauteng","2021-05-18 04:31:16","2021-05-18 04:31:16"
"176","ALRODE EXT 2","0","1451","ALRODE","Gauteng","2021-05-18 04:31:16","2021-05-18 04:31:16"
"177","ALRODE SOUTH","1451","0","ALRODE SOUTH","Gauteng","2021-05-18 04:31:16","2021-05-18 04:31:16"
"178","ALRODE SOUTH EXT 3","0","1451","ALRODE SOUTH EXT 3","Gauteng","2021-05-18 04:31:17","2021-05-18 04:31:17"
"179","ALRODE SUID EXT 3","0","1451","ALRODE SUID UIT 3","Gauteng","2021-05-18 04:31:17","2021-05-18 04:50:28"
"180","ALRODE EXT 2","0","1451","ALRODE","Gauteng","2021-05-18 04:31:17","2021-05-18 04:50:29"
"181","ALTON","0","3900","RICHARDS BAY","Kwazulu Natal","2021-05-18 04:31:18","2021-05-18 04:31:18"
"182","ALTON INDUSTRIAL","0","3900","RICHARDS BAY","Kwazulu Natal","2021-05-18 04:31:19","2021-05-18 04:31:19"
"183","ALTON INDUSTRIELE","0","3900","RICHARDS BAY","Kwazulu Natal","2021-05-18 04:31:19","2021-05-18 04:31:19"
"184","ALUNSA","0","1785","WESTONARIA","Gauteng","2021-05-18 04:31:19","2021-05-18 04:31:19"
"185","ALVERSTONE","3610","0","ALVERSTONE","Kwazulu Natal","2021-05-18 04:31:19","2021-05-18 04:31:19"
"186","AMABELE","4931","4931","KING WILLIAM'S TOWN","Eastern Cape","2021-05-18 04:31:19","2021-05-18 04:31:19"
"187","AMAJUBA","0","3385","AMAJUBA","Kwazulu Natal","2021-05-18 04:31:19","2021-05-18 04:31:19"
"188","AMAJUBA PARK","0","2955","AMAJUBA PARK","Kwazulu Natal","2021-05-18 04:31:19","2021-05-18 04:31:19"
"189","AMALGAM","2092","0","JOHANNESBURG","Gauteng","2021-05-18 04:31:19","2021-05-18 04:31:19"
"190","AMALIA","2786","2786","SCHWEIZER-RENEKE","North West Province","2021-05-18 04:31:20","2021-05-18 04:31:20"
"191","AMALINDA","5247","5252","EAST LONDON","Eastern Cape","2021-05-18 04:31:20","2021-05-18 04:31:20"
"192","AMANDAGLEN","7550","0","DURBANVILLE","Western Cape","2021-05-18 04:31:20","2021-05-18 04:31:20"
"193","AMANDASIG","182","118","KARENPARK","Gauteng","2021-05-18 04:31:20","2021-05-18 04:31:20"
"194","AMANDASIG EXT 1","182","118","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"195","AMANDASIG EXT 10","182","118","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"196","AMANDASIG EXT 2","182","118","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"197","AMANDASIG EXT 23","182","0","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"198","AMANDASIG EXT 24","182","0","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"199","AMANDASIG EXT 25","182","0","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"200","AMANDASIG EXT 5","182","118","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"201","AMANDASIG EXT 8","182","118","KARENPARK","Gauteng","2021-05-18 04:31:21","2021-05-18 04:31:21"
"202","AMANDASIG EXT 1","182","118","KARENPARK","Gauteng","2021-05-18 04:31:22","2021-05-18 04:50:29"
"203","AMANDASIG EXT 10","182","118","KARENPARK","Gauteng","2021-05-18 04:31:22","2021-05-18 04:50:29"
"204","AMANDASIG EXT 2","182","118","KARENPARK","Gauteng","2021-05-18 04:31:22","2021-05-18 04:50:29"
"205","AMANDASIG EXT 23","182","0","KARENPARK","Gauteng","2021-05-18 04:31:22","2021-05-18 04:50:29"
"206","AMANDASIG EXT 24","182","0","KARENPARK","Gauteng","2021-05-18 04:31:22","2021-05-18 04:50:29"
"207","AMANDASIG EXT 25","182","0","KARENPARK","Gauteng","2021-05-18 04:31:22","2021-05-18 04:50:29"
"208","AMANDASIG EXT 5","182","118","KARENPARK","Gauteng","2021-05-18 04:31:22","2021-05-18 04:50:29"
"209","AMANDASIG EXT 8","182","118","KARENPARK","Gauteng","2021-05-18 04:31:23","2021-05-18 04:50:29"
"210","AMANDAWE","0","4172","AMANDAWE","Kwazulu Natal","2021-05-18 04:31:23","2021-05-18 04:31:23"
"211","AMANDELBULT","0","362","CHROMITE","North West Province","2021-05-18 04:31:23","2021-05-18 04:31:23"
"212","AMANDELRUG","7580","0","KUILS RIVER","Western Cape","2021-05-18 04:31:23","2021-05-18 04:31:23"
"213","AMANDELSIG","7580","0","KUILS RIVER","Western Cape","2021-05-18 04:31:23","2021-05-18 04:31:23"
"214","AMANYATI","0","4820","LUSIKISIKI","Eastern Cape","2021-05-18 04:31:23","2021-05-18 04:31:23"
"215","AMANZIMNYAMA","0","3855","NKANDLA","Kwazulu Natal","2021-05-18 04:31:23","2021-05-18 04:31:23"
"216","AMANZIMTOTI","4126","4125","AMANZIMTOTI","Kwazulu Natal","2021-05-18 04:31:24","2021-05-18 04:31:24"
"217","AMANZIMYAMA","4399","0","TONGAAT","Kwazulu Natal","2021-05-18 04:31:24","2021-05-18 04:31:24"
"218","AMAOTI","4309","4080","PHOENIX","Kwazulu Natal","2021-05-18 04:31:24","2021-05-18 04:31:24"
"219","AMATHOLE BASIN","0","5711","ALICE","Eastern Cape","2021-05-18 04:31:24","2021-05-18 04:31:24"
"220","AMATHOLE VALLEY","0","5616","AMATHOLE VALLEY","Eastern Cape","2021-05-18 04:31:24","2021-05-18 04:31:24"
"221","AMATIKULU","0","3801","AMATIKULU","Kwazulu Natal","2021-05-18 04:31:24","2021-05-18 04:31:24"
"222","AMATIKWE","4309","4310","INANDA","Kwazulu Natal","2021-05-18 04:31:25","2021-05-18 04:31:25"
"223","AMATOLA VIEW","5605","0","AMATOLA VIEW","Eastern Cape","2021-05-18 04:31:25","2021-05-18 04:31:25"
"224","AMATOLA VILLE","4930","0","AMATOLA VILLE","Eastern Cape","2021-05-18 04:31:25","2021-05-18 04:31:25"
"225","AMATOLE BASIN","5605","0","BISHO","Eastern Cape","2021-05-18 04:31:25","2021-05-18 04:31:25"
"226","AMAWOTANA","0","4344","VERULAM","Kwazulu Natal","2021-05-18 04:31:25","2021-05-18 04:31:25"
